"(PDH-CSV 4.0) (Coordinated Universal Time)(0)","\\DatabaseVM\Processor(_Total)\% Processor Time","\\DatabaseVM\Memory\Available MBytes"
"10/28/2025 00:42:34.327","98.428792999284837606","8124"
"10/28/2025 00:42:35.347","53.635829298122473574","8122"
"10/28/2025 00:42:36.365","83.893248599590066306","8137"
"10/28/2025 00:42:37.379","46.438080589574035173","8134"
"10/28/2025 00:42:38.398","32.500323507540429091","8132"
"10/28/2025 00:42:39.413","54.989878338166420235","8133"
"10/28/2025 00:42:40.427","49.531006716360572284","8117"
"10/28/2025 00:42:41.444","58.54626428514156089","8189"
"10/28/2025 00:42:42.462","74.659659258727771203","8193"
"10/28/2025 00:42:43.479","35.122009082931704427","8186"
"10/28/2025 00:42:44.483","34.210311527122406972","8187"
"10/28/2025 00:42:45.504","39.199714859335145434","8209"
"10/28/2025 00:42:46.510","32.387654954438673371","8220"
"10/28/2025 00:42:47.520","34.260174334716673172","8220"
"10/28/2025 00:42:48.534","28.749911757734658124","8220"
"10/28/2025 00:42:49.552","32.077989172853094146","8222"
"10/28/2025 00:42:50.567","34.56908287986782824","8223"
"10/28/2025 00:42:51.588","28.086174184466617731","8224"
"10/28/2025 00:42:52.595","62.749296607384728475","8221"
"10/28/2025 00:42:53.613","37.500565639008151209","8213"
"10/28/2025 00:42:54.625","37.037384969533690082","8209"
"10/28/2025 00:42:55.643","33.654750502364663589","8219"
"10/28/2025 00:42:56.649","30.485961910069814707","8219"
"10/28/2025 00:42:57.660","60.594876312787107508","8221"
"10/28/2025 00:42:58.673","51.41119894677495239","8221"
"10/28/2025 00:42:59.692","29.435696652527621353","8221"
"10/28/2025 00:43:00.705","30.558614405725926133","8227"
"10/28/2025 00:43:01.721","33.531737113204840739","8229"
"10/28/2025 00:43:02.736","57.646326981050385996","8224"
"10/28/2025 00:43:03.751","33.815180165053490668","8221"
"10/28/2025 00:43:04.757","45.289941915761708913","8213"
"10/28/2025 00:43:05.774","45.418188069329815448","8212"
"10/28/2025 00:43:06.786","28.575754751452421942","8212"
"10/28/2025 00:43:07.803","42.784330903534439017","8214"
"10/28/2025 00:43:08.806","52.889561207470350723","8233"
"10/28/2025 00:43:09.826","44.464562964720578009","8230"
"10/28/2025 00:43:10.832","40.2144087088866371","8229"
"10/28/2025 00:43:11.834","30.996989603933911894","8229"
"10/28/2025 00:43:12.838","57.986842001745351638","8216"
"10/28/2025 00:43:13.848","31.905632993845355116","8220"
"10/28/2025 00:43:14.865","35.84681643328653422","8219"
"10/28/2025 00:43:15.879","32.986487413808603719","8234"
"10/28/2025 00:43:16.895","29.674292295005944453","8234"
"10/28/2025 00:43:17.911","32.648179557903546311","8234"
"10/28/2025 00:43:18.921","27.334598952292310514","8234"
"10/28/2025 00:43:19.937","31.967871889014777054","8237"
"10/28/2025 00:43:20.942","30.78085221544577621","8237"
"10/28/2025 00:43:21.946","32.713158010289255628","8238"
"10/28/2025 00:43:22.962","60.387106683246535965","8234"
"10/28/2025 00:43:23.982","35.268815011257615311","8234"
"10/28/2025 00:43:24.988","40.96867447407935714","8229"
"10/28/2025 00:43:25.997","30.710229786724653422","8236"
"10/28/2025 00:43:27.012","29.992259082530424052","8237"
"10/28/2025 00:43:28.019","30.156006523838740918","8237"
"10/28/2025 00:43:29.027","39.91979696902281205","8237"
"10/28/2025 00:43:30.046","28.677782159160415176","8237"
"10/28/2025 00:43:31.053","30.20400432717801209","8236"
"10/28/2025 00:43:32.089","50.599026343257449412","8151"
"10/28/2025 00:43:33.312","69.037970153058921596","8125"
"10/28/2025 00:43:34.330","83.493497441065997577","8135"
"10/28/2025 00:43:35.334","88.718499671955612484","8129"
"10/28/2025 00:43:36.343","94.579282973571181969","8147"
"10/28/2025 00:43:37.348","52.206768239598801529","8150"
"10/28/2025 00:43:38.369","28.442337971768139937","8142"
"10/28/2025 00:43:39.375","34.351280692211226153","8142"
"10/28/2025 00:43:40.392","32.40898316565845505","8142"
"10/28/2025 00:43:41.426","61.449786977872292937","8233"
"10/28/2025 00:43:42.513","61.929810269897124897","8228"
"10/28/2025 00:43:43.531","30.904907169115205079","8228"
"10/28/2025 00:43:44.545","36.469689524807414216","8228"
"10/28/2025 00:43:45.547","34.116334981032991891","8234"
"10/28/2025 00:43:46.566","33.664952358272628885","8234"
"10/28/2025 00:43:47.582","32.695483684217265363","8234"
"10/28/2025 00:43:48.592","27.340630980639048175","8235"
"10/28/2025 00:43:49.595","30.634139022329065938","8241"
"10/28/2025 00:43:50.613","30.18877984986616525","8241"
"10/28/2025 00:43:51.621","29.485120746765648647","8241"
"10/28/2025 00:43:52.629","61.221509784489377637","8239"
"10/28/2025 00:43:53.650","30.424743879872995223","8239"
"10/28/2025 00:43:54.667","37.014408743624137799","8239"
"10/28/2025 00:43:55.679","37.435315840614279637","8242"
"10/28/2025 00:43:56.690","32.367336209166133187","8243"
"10/28/2025 00:43:57.710","50.989723329146549702","8243"
"10/28/2025 00:43:58.721","50.545140911730001676","8243"
"10/28/2025 00:43:59.743","29.642484955972591365","8243"
"10/28/2025 00:44:00.749","37.154377004915026816","8243"
"10/28/2025 00:44:01.753","34.602126813576447262","8243"
"10/28/2025 00:44:02.763","60.180440263554423552","8237"
"10/28/2025 00:44:03.779","34.626076168613806772","8237"
"10/28/2025 00:44:04.797","41.284673882065007433","8236"
"10/28/2025 00:44:05.817","30.674485820128161606","8241"
"10/28/2025 00:44:06.838","30.371034546250530894","8242"
"10/28/2025 00:44:07.858","29.538734824481604591","8242"
